X,Y,OBJECTID,Route,Station,Stop_ID,On_Street,At_Street,Street_Address,City,State,Zip,County,Municipality,Owner,Average_Weekday_Ridership,Average_Saturday_Ridership,Average_Sunday_Ridership,Ticket_Office,Handicap_Accesible,Parking_Available,Number_of_Daily_Parking_Spaces,Number_of_Permit_Parking_Spaces,Taxi_Stand,Platform_Type,Station_Building,Shelter,Bench,Elevator,Escaltor,Lighting,Restroom,Trash_Receptacle,Recycling_Bin,Map,Fare_Information,Schedule_Information,Minority_Area,Low_Income_Area,Minority___Low_Income_Area,PA_State_Senate_District,PA_State_House_District,PA_US_Congressional_District,Philadelphia_City_Council_Distr,Latitude,Longitude,GlobalID
-75.173936,39.905434,1,Broad Street Line,AT&T,20001,Broad St,Pattison Ave,3600 S. Broad St,Philadelphia,PA,19145,Philadelphia,Philadelphia,SEPTA,2618,2884,3214,Yes,Yes,No,N/A,N/A,No,Subway,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,1,185,1,2,39.905434,-75.173936,3995d35c-eb53-4f8e-89f5-03538c614e5d
-75.171337,39.916822,2,Broad Street Line,Oregon,20002,Broad St,Oregon Ave,2700 S. Broad St,Philadelphia,PA,19148,Philadelphia,Philadelphia,SEPTA,3679,1647,1214,No,Yes,No,N/A,N/A,No,Subway,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,1,185,1,2,39.916822,-75.171337,9905da22-ec7b-4c1b-a503-b2ed232ca5d3
-75.16968,39.924389,3,Broad Street Line,Snyder,20005,Broad St,Snyder Ave,2100 S. Broad St,Philadelphia,PA,19148,Philadelphia,Philadelphia,SEPTA,5153,2840,2178,No,No,No,N/A,N/A,No,Subway,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,1,184,1,2,39.924389,-75.16968,f309ee38-4fba-47b6-964f-60197037bb71
-75.168501,39.929848,4,Broad Street Line,Tasker-Morris,20007,Broad St,Tasker-Morris St,1600 S. Broad St,Philadelphia,PA,19145,Philadelphia,Philadelphia,SEPTA,4337,2394,1867,No,No,No,N/A,N/A,No,Subway,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,8,186,2,2,39.929848,-75.168501,d4bb68b5-5539-4731-b62d-2e7621f62dce
-75.167129,39.936194,5,Broad Street Line,Ellsworth-Federal,20009,Broad St,Ellsworth-Federal St,1200 S. Broad St,Philadelphia,PA,19146,Philadelphia,Philadelphia,SEPTA,3004,1603,1282,No,No,No,N/A,N/A,No,Subway,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,182,1,2,39.936194,-75.167129,361a7bd4-d51c-4414-872c-ebc909137df5
-75.165402,39.944086,6,Broad Street Line,Lombard-South,20010,Broad St,Lombard-South St,500 S. Broad St,Philadelphia,PA,19147,Philadelphia,Philadelphia,SEPTA,2586,1539,1331,No,No,No,N/A,N/A,No,Subway,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,1,186,2,2,39.944086,-75.165402,5343a40c-7605-41b3-a4d6-bfa13958cc72
-75.164383,39.948799,7,Broad Street Line,Walnut-Locust,20013,Broad St,Walnut-Locust St,200 S. Broad St,Philadelphia,PA,19107,Philadelphia,Philadelphia,SEPTA,6804,3935,3359,Yes,Yes,No,N/A,N/A,No,Subway,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,1,182,2,2,39.948799,-75.164383,b93762c1-771c-4f63-b228-4923f9c89175
-75.163594,39.952389,8,Broad Street Line,City Hall,20014,Broad St,Market St,City Hall,Philadelphia,PA,19102,Philadelphia,Philadelphia,SEPTA,2313,959,774,Yes,No,No,N/A,N/A,No,Subway,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,182,2,5,39.952389,-75.163594,577d129f-c93e-4976-9418-5ba9ad163e49
-75.162601,39.957011,9,Broad Street Line,Race-Vine,20016,Broad St,Race-Vine St,300 N. Broad St,Philadelphia,PA,19107,Philadelphia,Philadelphia,SEPTA,2573,717,634,No,Yes,No,N/A,N/A,No,Subway,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,182,2,5,39.957011,-75.162601,a02c01a5-4e20-45a8-bd21-30ed9a2cfac2
-75.161431,39.962436,10,Broad Street Line,Spring Garden,20018,Broad St,Spring Garden St,500 N. Broad St,Philadelphia,PA,19123,Philadelphia,Philadelphia,SEPTA,5513,1111,807,No,Yes,No,N/A,N/A,No,Subway,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,1,182,2,5,39.962436,-75.161431,ecbf48ee-3fc5-4821-92e6-85b8f4d51223
