X,Y,OBJECTID,Route,Station,Stop_ID,On_Street,At_Street,Street_Address,City,State,Zip,County,Municipality,Owner,Average_Weekday_Ridership,Average_Saturday_Ridership,Average_Sunday_Ridership,Ticket_Office,Handicap_Accesible,Parking_Available,Number_of_Daily_Parking_Spaces,Number_of_Permit_Parking_Spaces,Taxi_Stand,Platform_Type,Station_Building,Shelter,Bench,Elevator,Escaltor,Lighting,Restroom,Trash_Receptacle,Recycling_Bin,Map,Fare_Information,Schedule_Information,Minority_Area,Low_Income_Area,Minority___Low_Income_Area,PA_State_Senate_District,PA_State_House_District,PA_U_S__Congressional_District,Philadelphia_City_Council_Distr,Latitude,Longitude,GlobalID
-75.259727,39.962605,1,Market-Frankford Line,69th Street Transportation Center,20049,Market St,69th St,6900 West Chester Pike,Upper Darby,PA,19082,Delaware,Upper Darby,SEPTA,15439.29249,8679.72549,6608.436364,Yes,Yes,Yes,182,N/A,No,Subway,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,26,164,1,N/A,39.962605,-75.259727,e15f74c4-792a-48c2-a420-a567d6274bc9
-75.252401,39.964426,2,Market-Frankford Line,Millbourne,20050,Wister Dr,Millbourne Ave,42 N. Millbourne Ave,Upper Darby,PA,19082,Delaware,Upper Darby,SEPTA,427.426877,297.431373,229.290909,Yes,Yes,No,N/A,N/A,No,High,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,26,164,1,N/A,39.964426,-75.252401,d2c03245-39b8-48a2-986b-a52946b89f9e
-75.246756,39.962708,3,Market-Frankford Line,63rd,20053,Market St,63rd St,6256 Market St,Philadelphia,PA,19139,Philadelphia,Philadelphia,SEPTA,1953.189723,1218.901961,931.763636,No,Yes,No,N/A,N/A,No,High,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,192,1,4,39.962708,-75.246756,f354b148-d807-4802-afc0-ce799358652d
-75.240729,39.961966,4,Market-Frankford Line,60th,20054,Market St,60th St,6000 Market St,Philadelphia,PA,19139,Philadelphia,Philadelphia,SEPTA,4746.288538,2781.254902,2033.127273,Yes,Yes,No,N/A,N/A,No,High,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,190,1,4,39.961966,-75.240729,55ab311d-74f6-4e90-99c4-6080269ee7d3
-75.23284,39.960993,5,Market-Frankford Line,56th,20057,Market St,56th St,5600 Market St,Philadelphia,PA,19139,Philadelphia,Philadelphia,SEPTA,5451.470356,3087.764706,2392.381818,Yes,Yes,No,N/A,N/A,No,High,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,190,2,4,39.960993,-75.23284,c766dade-4be2-43ea-b5eb-17bcbe7a7ae3
-75.224877,39.960005,6,Market-Frankford Line,52nd,20058,Market St,52nd St,5200 Market St,Philadelphia,PA,19139,Philadelphia,Philadelphia,SEPTA,6556.529644,4348.235294,3066.072727,Yes,Yes,No,N/A,N/A,No,High,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,188,2,3,39.960005,-75.224877,d52c717c-e007-4659-91e3-4fa86dbb6fca
-75.214009,39.958652,7,Market-Frankford Line,46th,20060,Market St,46th St,4600 Market St,Philadelphia,PA,19139,Philadelphia,Philadelphia,SEPTA,4378.762846,2347.568627,1711.363636,Yes,Yes,No,N/A,N/A,No,High,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,190,2,3,39.958652,-75.214009,60df8221-941f-43ac-b584-aa9727705d37
-75.201956,39.957156,8,Market-Frankford Line,40th,20063,Market St,40th St,4000 Market St,Philadelphia,PA,19104,Philadelphia,Philadelphia,SEPTA,5786,3192,2536,No,No,No,N/A,N/A,No,High,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,190,2,3,39.957156,-75.201956,fc258de9-63f8-48e5-9a17-9188e3dc8041
-75.191462,39.955844,9,Market-Frankford Line,34th,20065,Market St,34th St,3400 Market St,Philadelphia,PA,19104,Philadelphia,Philadelphia,SEPTA,6175.316206,2167.235294,1587.218182,Yes,No,No,N/A,N/A,No,Subway,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,7,190,2,3,39.955844,-75.191462,ff90e8ee-941f-430d-b4ea-3c2e1351259a
-75.183277,39.954837,10,Market-Frankford Line,30th,20067,Market St,30th St,3000 Market St,Philadelphia,PA,19104,Philadelphia,Philadelphia,SEPTA,6729,3116,2786,Yes,Yes,No,N/A,N/A,No,Subway,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,195,2,3,39.954837,-75.183277,e757ee37-07f3-4fc7-8752-7199a53f9372
