X,Y,OBJECTID,Line_Name,Station_Name,Street_Address,On_Street,At_Street,City,State,Zip,Municipality,County,Fare_Zone,Owner,Property_Status,Mile_Post,ADA_Accessible,Parking_Available,Number_of_Daily_Parking_Spaces,Daily_Car_Count,Number_of_Bike_Racks,Max_Number_of_Bicycles,Taxi_Stand,Elevators,Escalators,Platform_Type,Ticket_Office,Station_Building,Historic_Station_Building,Enclosed_Waiting_Room,Passenger_Shelter,Passenger_Canopy,Bench,Lighting,Restroom,Trash_Receptacle,Recycling_Bin,Map,Schedule_Information,Fare_Information,Minority_Area,Low_Income_Area,Minority_Low_Income_Area,PA_US_Congressional_District,PA_State_Senate_District,PA_State_House_District,Philadelphia_City_Council_Distr,Weekday_Inbound_Boards,Weekday_Inbound_Leaves,Weekday_Outbound_Boards,Weekday_Outbound_Leaves,Weekday_Total_Boards,Weekday_Total_Leaves,Weekday_Inbound_Trips,Weekday_Outbound_Trips,Saturday_Inbound_Boards,Saturday_Inbound_Leaves,Saturday_Outbound_Boards,Saturday_Outbound_Leaves,Saturday_Total_Boards,Saturday_Total_Leaves,Saturday_Inbound_Trips,Saturday_Outbound_Trips,Sunday_Inbound_Boards,Sunday_Inbound_Leaves,Sunday_Outbound_Boards,Sunday_Outbound_Leaves,Sunday_Total_Boards,Sunday_Total_Leaves,Sunday_Inbound_Trips,Sunday_Outbound_Trips,Total_Daily_Board,Total_Daily_Leaves,Total_Weekly_Boards,Total_Weekly_Leaves,Total_Weekly_Trips,Total_Annual_Boards,Total_Annual_Leaves,Total_Annual_Trips,Stop_ID,Latitude,Longitude,GlobalID
-75.246573738999984,39.875992154000073,1,Airport Line,Airport Terminal A,Airport Terminal A,Terminal A,Arrivals Rd,Philadelphia,PA,19153,Philadelphia,Philadelphia,4,City of Philadelphia,Not Owned or Leased,9.1,Yes,No,N/A,0,0,0,Yes,Yes,No,High,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,1,1,185,2,525,0,4,624,529,624,,,351,0,0,457,351,457,,,464,1,1,460,465,461,,,1345,1542,3461,4038,,180115,209631,,90404,39.87596242,-75.2465466,d2719e1f-ad4f-4074-9a93-6da928b442ed
-75.244632723999985,39.876380330000075,2,Airport Line,Airport Terminal B,Airport Terminal B,Terminal B,Arrivals Rd,Philadelphia,PA,19153,Philadelphia,Philadelphia,4,City of Philadelphia,Not Owned or Leased,9.2,Yes,No,N/A,0,0,0,Yes,Yes,No,High,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,1,1,185,2,447,0,1,500,448,500,,,384,0,0,462,384,462,,,410,0,0,433,410,433,,,1242,1396,3034,3396,,158003,176703,,90403,39.8763458,-75.24458243,b0923915-7fa4-43a2-834c-c5f97362c776
-75.241542412999934,39.877322491000029,3,Airport Line,Airport Terminals C&D,Airport Terminals C&D,Terminals C&D,Arrivals Rd,Philadelphia,PA,19153,Philadelphia,Philadelphia,4,City of Philadelphia,Not Owned or Leased,9.3,Yes,No,N/A,0,0,0,Yes,Yes,No,High,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,1,1,185,2,612,0,4,455,616,455,,,470,0,0,303,470,303,,,597,0,0,309,597,309,,,1683,1067,4147,2887,,216140,149691,,90402,39.87729572,-75.24142422,6b9d6b00-8587-4ef3-a411-f1cb1be8d0f0
-75.240039994999961,39.87898096300006,4,Airport Line,Airport Terminals E&F,Airport Terminals E&F,Terminals E&F,Arrivals Rd,Philadelphia,PA,19153,Philadelphia,Philadelphia,4,City of Philadelphia,Not Owned or Leased,9.4,Yes,No,N/A,0,0,0,Yes,Yes,No,High,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,1,1,185,2,431,0,0,325,431,325,,,255,0,0,254,255,254,,,350,0,0,283,350,283,,,1035,862,2759,2163,,143433,112544,,90401,39.87907921,-75.23996108,0d8d0012-a93f-468e-865a-1fb70a99299b
-75.244980618999989,39.89165050500003,5,Airport Line,Eastwick,8511 Bartram Ave,Bartram Ave,84th St,Philadelphia,PA,19153,Philadelphia,Philadelphia,2,City of Philadelphia,Not Owned or Leased,7.2,Yes,No,N/A,0,0,0,No,No,No,Mini,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,185,2,395,3,4,403,399,406,,,164,8,4,139,168,148,,,164,5,3,141,166,146,,,734,700,2330,2325,,120145,119721,,90405,39.89168101,-75.24495309,2e68919a-d1b4-4933-be63-5693ae2f3a20
-75.207758958999989,40.081041612000035,6,Chestnut Hill East Line,Chestnut Hill East,100 E. Chestnut Hill Ave,E. Cheastnut Hill Ave,Bethlehem Pike,Philadelphia,PA,19118,Philadelphia,Philadelphia,2,SEPTA,Own,10.8,No,Yes,130,110,2,4,No,No,No,Low,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,4,200,8,215,0,0,253,215,253,,,114,0,0,105,114,105,,,60,0,0,75,60,75,,,389,433,1250,1445,,64274,74315,,90720,40.08104128,-75.20777201,eaf81fe2-f274-45c2-85bd-f9b7149e076c
-75.171934869999973,40.037838595000039,7,Chestnut Hill East Line,Germantown,150 E. Chelten Ave,E. Chelton Ave,Bayton St,Philadelphia,PA,19144,Philadelphia,Philadelphia,1,SEPTA,Own,6.8,No,Yes,38,26,0,0,No,No,No,Low,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,4,201,8,83,6,1,119,84,125,,,47,4,4,67,50,70,,,40,4,4,43,44,47,,,178,242,513,743,,26516,38277,,90713,40.03782671,-75.17192744,93731ecd-e19e-4406-91eb-101109142f48
-75.201841835999971,40.077462288000049,8,Chestnut Hill East Line,Gravers,8321 Anderson St,Anderson St,Gravers Ln,Philadelphia,PA,19118,Philadelphia,Philadelphia,2,SEPTA,Own,10.3,No,Yes,14,14,0,0,No,No,No,Low,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,4,200,8,125,0,0,149,125,149,,,22,0,0,40,22,40,,,29,0,0,36,29,36,,,176,226,676,824,,34706,42291,,90719,40.07745912,-75.2018439,dc030d47-1874-45bb-9ae2-5b75c7680bee
-75.19104430699997,40.065255796000031,9,Chestnut Hill East Line,Mount Airy,149 E. Gowen Ave,E. Gowen Ave,Devon St,Philadelphia,PA,19119,Philadelphia,Philadelphia,2,SEPTA,Own,9.3,No,No,N/A,0,0,0,No,No,No,Low,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,4,200,8,248,0,0,228,248,228,,,85,0,1,74,86,74,,,53,0,1,64,54,64,,,388,366,1382,1276,,70920,65613,,90717,40.06524996,-75.19104403,7c07180e-cd81-40e8-aed5-9990aa9b5ae2
-75.185122512999953,40.062816869000073,10,Chestnut Hill East Line,Sedgwick,7139 Devon St,Devon St,E. Mt. Pleasant Ave,Philadelphia,PA,19119,Philadelphia,Philadelphia,2,SEPTA,Own,8.9,No,Yes,19,13,0,0,No,No,No,Low,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,2,4,200,8,262,1,3,269,265,270,,,92,1,2,87,94,88,,,54,0,1,52,55,52,,,413,410,1472,1490,,75530,76452,,90716,40.06281394,-75.18512702,9b9b76a3-2ba7-4d53-b9a5-6759d70521da
-75.178832795999938,40.060563117000072,11,Chestnut Hill East Line,Stenton,6797 Blakemore St,Blakemore St,E. Vernon Rd,Philadelphia,PA,19119,Philadelphia,Philadelphia,2,SEPTA,Own,8.6,No,Yes,62,62,0,0,No,No,No,Low,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,4,200,8,414,2,1,412,415,414,,,89,3,2,88,91,91,,,106,0,2,93,108,93,,,614,598,2273,2254,,116790,115691,,90715,40.06055908,-75.17883597,0fff58e2-e441-47bf-9652-cdca424472fb
-75.171531089999974,40.051058925000063,12,Chestnut Hill East Line,Washington Lane,823 E. Washington Ln,E. Washington Ln,Clearview St,Philadelphia,PA,19138,Philadelphia,Philadelphia,2,SEPTA,Own,7.8,No,Yes,41,41,0,0,No,No,No,Low,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,4,201,8,166,4,1,197,167,201,,,46,4,5,66,51,70,,,37,1,0,51,37,52,,,256,323,925,1126,,47501,57845,,90714,40.05106588,-75.17154515,aa1ecf5b-27bf-4e24-b72b-802a5a500783
-75.161465258999954,40.036182066000038,13,Chestnut Hill East Line,Wister,5230 Belfield Ave,Belfield Ave,Armstrong St,Philadelphia,PA,19144,Philadelphia,Philadelphia,1,SEPTA,Own,6.1,No,No,N/A,0,0,0,No,No,No,Low,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,4,201,8,86,3,0,87,86,90,,,22,4,0,25,22,30,,,16,0,2,18,18,18,,,127,138,472,498,,24246,25538,,90712,40.0361789,-75.16149001,676380ea-5ff7-4d2c-bbd7-189e130936d9
-75.196739397999977,40.073439093000047,14,Chestnut Hill East Line,Wyndmoor,256 Wyndmoor St,Wyndmoor St,E. Willow Grove Ave,Philadelphia,PA,19118,Philadelphia,Philadelphia,2,SEPTA,Own,10,No,Yes,150,126,0,0,No,No,No,Low,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,2,4,200,8,454,3,2,441,456,444,,,216,1,0,176,216,177,,,114,2,1,109,115,111,,,787,732,2612,2507,,134258,128801,,90718,40.07344814,-75.19675189,3394bf62-1695-46f4-84a3-83214a69262b
-75.19492511499999,40.057457918000068,15,Chestnut Hill West Line,Allen Lane,7260 Cresheim Rd,Cresheim Rd,W. Allen Ln,Philadelphia,PA,19119,Philadelphia,Philadelphia,2,SEPTA,Own,4.8,Yes,Yes,6,6,0,0,No,No,No,High,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,2,4,198,8,298,3,4,322,302,325,,,82,7,1,104,83,111,,,41,2,3,29,44,31,,,429,467,1637,1767,,83853,90445,,90804,40.05745792,-75.19492511,45f7fa50-6a85-454d-a58b-264f8bcc27c9
-75.191618976999962,40.050928007000039,16,Chestnut Hill West Line,Carpenter,201 Carpenter Ln,Carpenter Ln,Emlen st,Philadelphia,PA,19119,Philadelphia,Philadelphia,2,SEPTA,Own,4.4,No,Yes,93,44,0,0,No,No,No,Low,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,4,200,8,388,7,7,417,395,424,,,84,7,6,73,90,80,,,50,2,2,61,52,63,,,537,567,2117,2263,,108421,115934,,90805,40.05092801,-75.19161898,2b7a8044-4d84-4ebe-9ee7-995e9f04bcd8
-75.18109626599994,40.029959563000034,17,Chestnut Hill West Line,Chelten Avenue,359 W. Chelten Ave,W. Chelton Ave,Morris St,Philadelphia,PA,19144,Philadelphia,Philadelphia,1,SEPTA,Own,2.8,No,Yes,24,24,0,0,No,No,No,Low,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,3,198,8,376,16,15,414,391,430,,,129,12,11,128,140,140,,,67,10,14,96,81,106,,,612,676,2177,2396,,111734,123078,,90808,40.02995956,-75.18109627,1c0021f1-33f5-4433-a114-33ebaaefdbd4
-75.208512173999964,40.076228177000075,18,Chestnut Hill West Line,Chestnut Hill West,9 W. Evergreen Ave,W. Evergreen Ave,Germantown Ave,Philadelphia,PA,19118,Philadelphia,Philadelphia,2,SEPTA,Own,6.65,Yes,Yes,119,87,0,0,No,No,No,High,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,4,200,8,447,0,0,476,447,476,,,168,0,0,156,168,156,,,97,0,0,104,97,104,,,712,736,2502,2640,,128424,135524,,90801,40.07622818,-75.20851217,562302d3-7da7-4a90-97da-c37f9758dc60
-75.21112681599999,40.070349096000029,19,Chestnut Hill West Line,Highland,8452 St. Martins Ln,St. Martins Ln,Highland Ave,Philadelphia,PA,19118,Philadelphia,Delaware,2,SEPTA,Own,6.1,No,Yes,61,10,0,0,No,No,No,Low,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,1,9,159,,53,0,3,61,56,61,,,8,0,0,8,8,8,,,7,0,0,6,7,6,,,71,75,295,319,,15102,16319,,90802,40.0703491,-75.21112682,8d71f3cc-e60b-469a-8066-67ccaafa4d50
-75.15658399199998,39.997211994000054,20,Chestnut Hill West Line,North Philadelphia,1503 W. Indiana Ave,W. Indiana Ave,N. Broad St,Philadelphia,PA,19132,Philadelphia,Philadelphia,1,AMTRAK,Leased,0.07,No,Yes,100,3,0,0,No,No,No,Low,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,3,197,8,3,21,31,5,34,26,,,,12,8,4,8,16,,,,11,4,2,4,13,,,46,55,182,159,,9318,8216,,90810,39.99721199,-75.15658399,5ba36ab3-990d-4a3d-9c09-a6deca091d4d
